mood,slot,file_name,local_path,usage,target_template_or_section,final_public_url,status,notes
shared,icon,customer-service.png,sendgrid asset library,customer service icon,retention body cards,http://cdn.mcauto-images-production.sendgrid.net/c49e37cd579f1c08/ce697fad-8f30-4a63-b105-a12c1b8d6660/512x512.png,uploaded,Customer service icon uploaded to SendGrid on Apr 4 2026
shared,icon,credit-card.png,sendgrid asset library,generic credit card icon,retention body cards,http://cdn.mcauto-images-production.sendgrid.net/c49e37cd579f1c08/e7eee782-2851-4609-adba-6727853a4033/1024x1024.png,uploaded,Credit card icon uploaded to SendGrid on Apr 4 2026
shared,icon,gestione-dei-rischi-e-controllo.png,sendgrid asset library,risk management and control icon,retention body cards,http://cdn.mcauto-images-production.sendgrid.net/c49e37cd579f1c08/fd51b279-7d4f-467f-8d95-c372d4f2d317/1024x1024.png,uploaded,Risk management and control icon uploaded to SendGrid on Apr 4 2026
shared,icon,successo-finanziario-e-sicurezza.png,sendgrid asset library,financial success and security icon,retention body cards,http://cdn.mcauto-images-production.sendgrid.net/c49e37cd579f1c08/c6cece3b-7548-481a-8f28-7c395be7c123/1024x1024.png,uploaded,Financial success and security icon uploaded to SendGrid on Apr 4 2026
shared,icon,investimento-di-successo-e-premio.png,sendgrid asset library,successful investment reward icon,retention body cards,http://cdn.mcauto-images-production.sendgrid.net/c49e37cd579f1c08/26aba9f6-5075-4fcb-95d7-d1a00027fc35/1024x1024.png,uploaded,Successful investment reward icon uploaded to SendGrid on Apr 4 2026
shared,icon,certificato-di-successo-e-crescita.png,sendgrid asset library,success and growth certificate icon,retention body cards,http://cdn.mcauto-images-production.sendgrid.net/c49e37cd579f1c08/732f5134-aecd-404b-bf04-c1c95be0331a/1024x1024.png,uploaded,Success and growth certificate icon uploaded to SendGrid on Apr 4 2026
shared,icon,bw-icon-secure-access-v1.png,sendgrid asset library,secure access icon,retention body cards,http://cdn.mcauto-images-production.sendgrid.net/c49e37cd579f1c08/0543eda0-82a2-4338-b208-07cf707136fb/1024x1024.png,uploaded,Primary secure access icon selected from Flaticon and uploaded to SendGrid
shared,icon,bw-icon-secure-deposit-card-v1.png,sendgrid asset library,secure deposit card icon,retention body cards,http://cdn.mcauto-images-production.sendgrid.net/c49e37cd579f1c08/6ad54481-6188-42c8-977a-778b90516d83/512x512.png,uploaded,Primary secure deposit icon selected from Flaticon and uploaded to SendGrid
human-trust-product-proof,hero,bw-human-hero-laptop-review-v1.jpg,assets/email-modernization/human-trust-product-proof/bw-human-hero-laptop-review-v1.jpg,primary hero,journey hero,,todo,
human-trust-product-proof,support,bw-human-support-dashboard-crop-v1.png,assets/email-modernization/human-trust-product-proof/bw-human-support-dashboard-crop-v1.png,product proof,body support block,,todo,
editorial-finance-premium,hero,bw-editorial-hero-analyst-desk-v1.jpg,assets/email-modernization/editorial-finance-premium/bw-editorial-hero-analyst-desk-v1.jpg,primary hero,journey hero,,todo,
editorial-finance-premium,support,bw-editorial-support-report-closeup-v1.jpg,assets/email-modernization/editorial-finance-premium/bw-editorial-support-report-closeup-v1.jpg,body support,trust section,,todo,
performance-cinematic,hero,bw-cinematic-hero-screen-glow-v1.jpg,assets/email-modernization/performance-cinematic/bw-cinematic-hero-screen-glow-v1.jpg,primary hero,high-intent campaign,,todo,
performance-cinematic,support,bw-cinematic-support-data-wave-v1.jpg,assets/email-modernization/performance-cinematic/bw-cinematic-support-data-wave-v1.jpg,accent visual,section divider or support,,todo,
shared,product,bw-product-kpi-card-v1.png,assets/email-modernization/bw-product-kpi-card-v1.png,product crop,kpi card block,,todo,
shared,product,bw-product-dashboard-overview-v1.png,assets/email-modernization/bw-product-dashboard-overview-v1.png,product crop,overview block,,todo,
