"Cohort Date","Cohort Size","Month 0","Month 1","Month 2","Month 3","Month 4","Month 5","Month 6","Month 7","Month 8","Month 9","Month 10","Month 11","Month 12","Month 13","Month 14","Month 15","Month 16","Month 17","Month 18","Month 19","Month 20","Month 21","Month 22","Month 23","Month 24","Month 25","Month 26","Month 27","Month 28","Month 29","Month 30","Month 31","Month 32","Month 33","Month 34","Month 35","Month 36"
"1/1/2023 0:00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2/1/2023 0:00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"3/1/2023 0:00:00","106","38313","9228","7630","6810","8745","1761","2763","3244","1020","5642","0","6912","2951","10831","0","0","1193","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"4/1/2023 0:00:00","128","17222","31037","5827","369","110","1374","1623","323","325","1638","640","0","236","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",""
"5/1/2023 0:00:00","92","82347","26249","30268","31970","18955","24166","23359","20961","64287","34664","15441","13622","6917","34295","19639","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
"6/1/2023 0:00:00","195","38571","24694","8671","7752","3505","15098","5304","17788","48936","5999","12266","23704","19440","2653","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","",""
"7/1/2023 0:00:00","272","55475","24110","9727","2358","6444","1386","5562","8197","3499","716","359","2982","2061","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"8/1/2023 0:00:00","191","85064","13262","6984","6165","3691","6325","0","774","12716","0","0","2777","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"9/1/2023 0:00:00","147","25009","24253","8473","21350","4257","15332","10587","4976","447","6617","1151","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","",""
"10/1/2023 0:00:00","139","80129","7643","14041","8694","2796","2446","548","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"11/1/2023 0:00:00","527","445822","103808","14078","24059","42224","7659","2272","6473","6499","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"12/1/2023 0:00:00","230","454812","21116","12621","16233","5620","7372","3869","3946","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","",""
"1/1/2024 0:00:00","367","176658","69407","18791","18715","4666","14406","8555","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","",""
"2/1/2024 0:00:00","340","42089","30403","4743","36610","8181","1232","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","",""
"3/1/2024 0:00:00","123","169829","39044","2943","100","1500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","",""
"4/1/2024 0:00:00","188","19478","6589","1700","295","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"5/1/2024 0:00:00","91","49652","19605","13758","0","0","0","210","0","0","208","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"6/1/2024 0:00:00","90","21918","45045","2500","0","700","3900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","",""
"7/1/2024 0:00:00","294","109682","17958","10549","25177","27169","10000","0","2973","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","",""
