"Cohort Date","Cohort Size","Month 0","Month 1","Month 2","Month 3","Month 4","Month 5","Month 6","Month 7","Month 8","Month 9","Month 10","Month 11","Month 12","Month 13","Month 14","Month 15","Month 16","Month 17","Month 18","Month 19","Month 20","Month 21","Month 22","Month 23","Month 24","Month 25","Month 26","Month 27","Month 28","Month 29","Month 30","Month 31","Month 32","Month 33","Month 34","Month 35","Month 36"
"1/1/2023 0:00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2/1/2023 0:00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"3/1/2023 0:00:00","106","34608","6372","6567","4368","3639","919","-562","2920","262","5642","-1910","-1548","1839","10242","0","-12004","1193","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"4/1/2023 0:00:00","128","15188","29402","5754","-242","110","1018","1623","323","-596","1638","640","-109","236","-226","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",""
"5/1/2023 0:00:00","92","80627","14315","29208","26527","18955","23524","20473","19423","60881","32378","14150","12453","-2127","34295","19639","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
"6/1/2023 0:00:00","195","36590","17993","1905","1541","499","10485","-1672","15612","45452","4975","12266","23160","18694","2653","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","",""
"7/1/2023 0:00:00","272","44862","17081","4669","-349","882","-2897","4496","5503","-1097","-778","-325","1175","2061","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"8/1/2023 0:00:00","191","77342","7202","5900","-957","95","5431","-1364","-7840","10710","-3005","-402","2777","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"9/1/2023 0:00:00","147","17424","21897","6155","20248","4000","13984","10041","-4260","-381","5557","1151","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","",""
"10/1/2023 0:00:00","139","77123","2008","11909","4782","2080","-3620","-2059","-685","-631","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"11/1/2023 0:00:00","527","428643","84859","-1896","-4673","27210","599","-452","1910","6499","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"12/1/2023 0:00:00","230","451462","15470","1935","12059","2576","4812","3612","3946","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","",""
"1/1/2024 0:00:00","367","163220","42887","-774","12960","1932","10254","8555","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","",""
"2/1/2024 0:00:00","340","34774","25975","296","30810","5119","1232","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","",""
"3/1/2024 0:00:00","123","167047","33581","2664","-109","1500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","",""
"4/1/2024 0:00:00","188","17424","6444","668","295","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"5/1/2024 0:00:00","91","41977","5756","9944","0","0","-106","210","0","0","208","0","0","-526","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"6/1/2024 0:00:00","90","20329","44758","2254","0","700","3900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","",""
"7/1/2024 0:00:00","294","88076","10020","10020","25177","26622","10000","0","2973","0","0","0","-569","0","-1398","0","0","0","0","0","","","","","","","","","","","","","","","","","",""
