"Cohort Date","Cohort Size","Month 0","Month 1","Month 2","Month 3","Month 4","Month 5","Month 6","Month 7","Month 8","Month 9","Month 10","Month 11","Month 12","Month 13","Month 14","Month 15","Month 16","Month 17","Month 18","Month 19","Month 20","Month 21","Month 22","Month 23","Month 24","Month 25","Month 26","Month 27","Month 28","Month 29","Month 30","Month 31","Month 32","Month 33","Month 34","Month 35","Month 36"
"1/1/2023 0:00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2/1/2023 0:00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"3/1/2023 0:00:00","106","-3705","-2856","-1063","-2442","-5106","-842","-3325","-324","-758","0","-1910","-8460","-1112","-589","0","-12004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"4/1/2023 0:00:00","128","-2034","-1635","-73","-611","0","-356","0","0","-921","0","0","-109","0","-226","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",""
"5/1/2023 0:00:00","92","-1720","-11934","-1060","-5443","0","-642","-2886","-1538","-3406","-2286","-1291","-1169","-9044","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
"6/1/2023 0:00:00","195","-1981","-6701","-6766","-6211","-3006","-4613","-6976","-2176","-3484","-1024","0","-544","-746","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","",""
"7/1/2023 0:00:00","272","-10613","-7029","-5058","-2707","-5562","-4283","-1066","-2694","-4596","-1494","-684","-1807","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"8/1/2023 0:00:00","191","-7722","-6060","-1084","-7122","-3596","-894","-1364","-8614","-2006","-3005","-402","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"9/1/2023 0:00:00","147","-7585","-2356","-2318","-1102","-257","-1348","-546","-9236","-828","-1060","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","",""
"10/1/2023 0:00:00","139","-3006","-5635","-2132","-3912","-716","-6066","-2607","-685","-631","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"11/1/2023 0:00:00","527","-17179","-18949","-15974","-28732","-15014","-7060","-2724","-4563","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"12/1/2023 0:00:00","230","-3350","-5646","-10686","-4174","-3044","-2560","-257","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","",""
"1/1/2024 0:00:00","367","-13438","-26520","-19565","-5755","-2734","-4152","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","",""
"2/1/2024 0:00:00","340","-7315","-4428","-4447","-5800","-3062","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","",""
"3/1/2024 0:00:00","123","-2782","-5463","-279","-209","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","",""
"4/1/2024 0:00:00","188","-2054","-145","-1032","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"5/1/2024 0:00:00","91","-7675","-13849","-3814","0","0","-106","0","0","0","0","0","0","-526","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"6/1/2024 0:00:00","90","-1589","-287","-246","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","",""
