"Cohort Date","Cohort Size","Month 0","Month 1","Month 2","Month 3","Month 4","Month 5","Month 6","Month 7","Month 8","Month 9","Month 10","Month 11","Month 12","Month 13","Month 14","Month 15","Month 16","Month 17","Month 18","Month 19","Month 20","Month 21","Month 22","Month 23","Month 24","Month 25","Month 26","Month 27","Month 28","Month 29","Month 30","Month 31","Month 32","Month 33","Month 34","Month 35","Month 36"
"1/1/2023 0:00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2/1/2023 0:00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"3/1/2023 0:00:00","106","76","27","21","7","11","3","6","7","2","2","0","10","6","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"4/1/2023 0:00:00","128","46","18","6","2","1","3","12","2","2","6","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",""
"5/1/2023 0:00:00","92","32","20","19","24","14","20","24","22","20","32","24","7","8","16","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
"6/1/2023 0:00:00","195","88","50","24","13","11","12","5","8","14","8","4","6","8","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","",""
"7/1/2023 0:00:00","272","136","52","35","16","10","6","12","21","14","4","2","14","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"8/1/2023 0:00:00","191","120","30","13","8","8","10","0","3","11","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"9/1/2023 0:00:00","147","86","33","11","17","6","15","5","4","2","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","",""
"10/1/2023 0:00:00","139","81","28","24","16","5","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"11/1/2023 0:00:00","527","379","55","44","63","81","22","7","14","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"12/1/2023 0:00:00","230","134","42","33","28","10","16","16","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","",""
"1/1/2024 0:00:00","367","236","115","48","13","10","24","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","",""
"2/1/2024 0:00:00","340","99","37","7","20","10","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","",""
"3/1/2024 0:00:00","123","89","28","10","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","",""
"4/1/2024 0:00:00","188","35","13","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"5/1/2024 0:00:00","91","45","12","13","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"6/1/2024 0:00:00","90","46","12","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","",""
"7/1/2024 0:00:00","294","149","25","8","7","14","1","0","3","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","",""
"8/1/2024 0:00:00","2854","173","82","47","13","10","14","17","14","7","10","5","2","2","3","1","6","2","0","","","","","","","","","","","","","","","","","","",""
"9/1/2024 0:00:00","802","231","74","49","19","29","35","43","41","28","22","13","5","3","16","12","0","2","","","","","","","","","","","","","","","","","","","",""
