bullwaves_user,bullwaves_id,from_affiliate_id,to_affiliate_id,comment,created_on,created_by,admin_only,affiliateid
bullwaves-851993,851993,2287,35272,"User bullwaves-851993 was moved from affiliate 2287 to  affiliate 35272  With settings : Move media report stats , Move pre calculated commissions",,,,
bullwaves-850942,850942,2287,35272,User bullwaves-850942 was moved from affiliate 2287 to  affiliate 35272,,,,
bullwaves-851993,851993,2287,35272,"User bullwaves-851993 was moved from affiliate 2287 to  affiliate 35272  With settings : Move media report stats , Move pre calculated commissions , Apply destination affiliate Revshare settings , Apply destination affiliate CPA Qualification",1/8/2026 3:45:03 PM,paolov,Yes,35272
bullwaves-850942,850942,2287,35272,"User bullwaves-850942 was moved from affiliate 2287 to  affiliate 35272  With settings : Move media report stats , Move pre calculated commissions , Apply destination affiliate Revshare settings , Apply destination affiliate CPA Qualification",1/8/2026 3:43:50 PM,paolov,Yes,35272
bullwaves-850358,850358,2287,35429,"User bullwaves-850358 was moved from affiliate 2287 to  affiliate 35429  With settings : Move media report stats , Move pre calculated commissions , Apply destination affiliate Revshare settings , Apply destination affiliate CPA Qualification",1/8/2026 3:41:10 PM,paolov,Yes,35429
bullwaves-850526,850526,2287,35597,"User bullwaves-850526 was moved from affiliate 2287 to  affiliate 35597  With settings : Move media report stats , Move pre calculated commissions , Apply destination affiliate Revshare settings , Apply destination affiliate CPA Qualification",1/8/2026 11:19:46 AM,Partners,Yes,35597
bullwaves-848882,848882,2287,35231,"User bullwaves-848882 was moved from affiliate 2287 to  affiliate 35231  With settings : Move media report stats , Move pre calculated commissions , Apply destination affiliate Revshare settings , Apply destination affiliate CPA Qualification",1/8/2026 11:17:21 AM,Partners,Yes,35231
bullwaves-840636,840636,35335,35270,"User bullwaves-840636 was moved from affiliate 35335 to  affiliate 35270  With settings : Move media report stats , Apply destination affiliate Revshare settings , Apply destination affiliate CPA Qualification",1/6/2026 12:31:03 PM,Partners,Yes,35270
bullwaves-840636,840636,35335,35270,"User bullwaves-840636 was moved from affiliate 35335 to  affiliate 35270  With settings : Move media report stats , Apply destination affiliate Revshare settings , Apply destination affiliate CPA Qualification",1/6/2026 12:31:02 PM,Partners,Yes,35335
bullwaves-838641,838641,2287,35270,"User bullwaves-838641 was moved from affiliate 2287 to  affiliate 35270  With settings : Move media report stats , Apply destination affiliate Revshare settings , Apply destination affiliate CPA Qualification",1/6/2026 12:29:51 PM,Partners,Yes,35270
bullwaves-505077,505077,35660,35270,"User bullwaves-505077 was moved from affiliate 35660 to  affiliate 35270  With settings : Move media report stats , Apply destination affiliate Revshare settings , Apply destination affiliate CPA Qualification",1/6/2026 10:45:32 AM,Partners,Yes,35270
bullwaves-484879,484879,35290,35270,"User bullwaves-484879 was moved from affiliate 35290 to  affiliate 35270  With settings : Move media report stats , Apply destination affiliate Revshare settings , Apply destination affiliate CPA Qualification",1/6/2026 10:43:34 AM,Partners,Yes,35270
bullwaves-844483,844483,2287,35231,"User bullwaves-844483 was moved from affiliate 2287 to  affiliate 35231  With settings : Move media report stats , Move pre calculated commissions , Apply destination affiliate Revshare settings , Apply destination affiliate CPA Qualification",1/5/2026 2:29:05 AM,Partners,Yes,35231
bullwaves-666903,666903,35272,35180,"User bullwaves-666903 was moved from affiliate 35272 to  affiliate 35180  With settings : Move media report stats , Apply destination affiliate Revshare settings , Apply destination affiliate CPA Qualification",1/4/2026 8:53:11 PM,Partners,Yes,35180
bullwaves-843546,843546,2287,35197,"User bullwaves-843546 was moved from affiliate 2287 to  affiliate 35197  With settings : Move media report stats , Move pre calculated commissions , Apply destination affiliate Revshare settings , Apply destination affiliate CPA Qualification",1/4/2026 12:11:42 PM,Tamara,Yes,35197
bullwaves-505077,505077,35270,35660,"User bullwaves-505077 was moved from affiliate 35270 to  affiliate 35660  With settings : Move media report stats , Move pre calculated commissions , Apply destination affiliate Revshare settings , Apply destination affiliate CPA Qualification",1/2/2026 4:54:12 PM,paolov,Yes,35660
bullwaves-841781,841781,2287,35660,"User bullwaves-841781 was moved from affiliate 2287 to  affiliate 35660  With settings : Move media report stats , Move pre calculated commissions , Apply destination affiliate Revshare settings , Apply destination affiliate CPA Qualification",1/2/2026 4:12:37 PM,SONJA,Yes,35660
bullwaves-841828,841828,2287,35180,"User bullwaves-841828 was moved from affiliate 2287 to  affiliate 35180  With settings : Move media report stats , Move pre calculated commissions , Apply destination affiliate Revshare settings , Apply destination affiliate CPA Qualification",1/2/2026 1:47:56 PM,paolov,Yes,35180
bullwaves-840636,840636,2287,35335,"User bullwaves-840636 was moved from affiliate 2287 to  affiliate 35335  With settings : Move media report stats , Move pre calculated commissions , Apply destination affiliate Revshare settings , Apply destination affiliate CPA Qualification",1/2/2026 10:11:48 AM,SONJA,Yes,35335
bullwaves-195154,195154,35224,35529,"User bullwaves-195154 was moved from affiliate 35224 to  affiliate 35529  With settings : Move media report stats , Move pre calculated commissions , Apply destination affiliate Revshare settings , Apply destination affiliate CPA Qualification",12/31/2025 4:03:55 PM,paolov,Yes,35529
