user_id,accounts_count,accounts,has_ftd,has_qftd
bullwaves-819183,1,3004357,0,0
bullwaves-819192,1,3004358,0,0
bullwaves-819180,1,3004356,0,0
bullwaves-819174,1,3004355,0,0
bullwaves-819157,1,2001117,0,0
bullwaves-819137,1,3004354,0,0
bullwaves-819133,1,,0,0
bullwaves-819124,1,3004352,0,0
bullwaves-819118,1,3004351,0,0
bullwaves-819113,1,3004350,0,0
bullwaves-819102,1,3004349,0,0
bullwaves-819088,1,2001116,0,0
bullwaves-819084,1,3004347,0,0
bullwaves-819066,1,3004346,0,0
bullwaves-819055,1,3004345,0,0
bullwaves-819051,1,3004344,0,0
bullwaves-819045,1,3004342,0,0
bullwaves-819041,1,3004341,0,0
bullwaves-819027,1,,0,0
bullwaves-819018,1,3004340,1,1
bullwaves-819000,1,3004339,1,1
bullwaves-818961,1,2001115,0,0
bullwaves-818948,1,3004338,1,0
bullwaves-818944,1,3004337,1,1
bullwaves-818884,1,"3004334,3004335",0,0
bullwaves-818863,1,2001114,1,1
bullwaves-818846,1,3004332,1,1
bullwaves-818843,1,2001113,0,0
bullwaves-818809,1,3004331,1,1
bullwaves-818800,1,3004330,0,0
bullwaves-818786,1,3004328,0,0
bullwaves-818792,1,3004329,0,0
bullwaves-818773,1,3004327,0,0
bullwaves-818755,1,3004326,0,0
bullwaves-818752,1,3004325,0,0
bullwaves-818728,1,3004324,0,0
bullwaves-818706,1,3004323,0,0
bullwaves-818697,1,3004322,0,0
bullwaves-818691,1,3004321,0,0
bullwaves-818678,1,2001112,0,0
bullwaves-818671,1,3004320,1,0
bullwaves-818664,1,3004319,0,0
bullwaves-818667,1,2001111,0,0
bullwaves-818658,1,3004318,0,0
bullwaves-818647,1,3004317,1,1
bullwaves-818635,1,3004316,0,0
bullwaves-818616,1,3004315,0,0
bullwaves-818629,1,,0,0
bullwaves-818624,1,2001110,0,0
bullwaves-818612,1,3004314,0,0
bullwaves-818600,1,3004312,0,0
bullwaves-818606,1,3004313,0,0
bullwaves-818568,1,3004311,0,0
bullwaves-818556,1,3004310,0,0
bullwaves-818552,1,3004309,1,1
bullwaves-818541,1,3004308,0,0
bullwaves-818533,1,3004307,0,0
bullwaves-818526,1,2001109,0,0
bullwaves-818507,1,3004306,0,0
bullwaves-818504,1,3004305,0,0
bullwaves-818500,1,3004304,0,0
bullwaves-818496,1,3004303,0,0
bullwaves-818484,1,3004302,0,0
bullwaves-818475,1,3004301,0,0
bullwaves-818467,1,3004300,1,1
bullwaves-818459,1,2001108,0,0
bullwaves-818441,1,3004299,0,0
bullwaves-818444,1,2001107,0,0
bullwaves-818437,1,3004298,1,1
bullwaves-818418,1,3004297,0,0
bullwaves-818408,1,,0,0
