"Month","Affiliate","Country","Impressions","Unique Impressions","CTR","Unique Visitors","Visitors","Leads","Registrations","Conversion Rate","FTD","QFTD","Deposits","Withdrawals","Net Deposits","First Deposits","Spread","LOT","Volume","PL","ROI","Commission","CPA Commission","CPL Commission","RevShare Commission","Sub Commission","Other Commission","ECPA","ECPL","Chargeback Count","Chargeback Amount","uid"
"12/2025","Mertyoz","Finland","0","0","0.00%","5","40","2","2","50.00%","1","1","407.00","0.00","407.00","232.68","0.8609","5.4900","54,900.0000","418.4849","0.68","600.00","600.00","0.00","0.00","0.00","0.00","600.00","300.00","0","0.00","1"
"12/2025","theforexcomplex","Germany","0","0","0.00%","0","0","0","0","0.00%","0","0","0.00","-299","-299","0.00","467.9836","3.2700","32,700.0000","-456.8902","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","2"
"12/2025","theforexcomplex","Hungary","0","0","0.00%","0","0","0","0","0.00%","0","0","0.00","0.00","0.00","0.00","181.6700","0.9800","9,800.0000","-135.7400","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","3"
"12/2025","fxnhsignals","Czech Republic","0","0","0.00%","3","3","1","1","100.00%","1","1","352.00","0.00","352.00","234.97","346.1381","2.0600","20,600.0000","33.6231","1.01","350.00","350.00","0.00","0.00","0.00","0.00","350.00","350.00","0","0.00","4"
"12/2025","Fredtrading","Macedonia, the Former Yugoslav Republic of","0","0","0.00%","0","2","0","0","0.00%","0","0","410.00","0.00","410.00","0.00","361.2278","3.5000","35,000.0000","425.3305","136.67","3.00","0.00","0.00","3.00","0.00","0.00","0.00","0.00","0","0.00","5"
"12/2025","WealthWave","Thailand","0","0","0.00%","3","3","1","1","100.00%","1","1","1,165.00","0.00","1,165.00","1,164.70","25.5036","3.1400","31,400.0000","-115.7276","1.17","1,000.00","1,000.00","0.00","0.00","0.00","0.00","1,000.00","1,000.00","0","0.00","6"
"12/2025","jonathanvareymitchell","Romania","0","0","0.00%","0","0","0","0","0.00%","0","0","661.00","-133","528.00","0.00","7,099.6082","4.6400","46,400.0000","909.9772","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","7"
"12/2025","Mertyoz","Italy","0","0","0.00%","11","17","5","5","0.00%","0","0","0.00","-403","-403","0.00","348.9726","0.1200","1,200.0000","-13.9970","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","8"
"12/2025","tradingcentalfx","Canada","0","0","0.00%","1","5","1","1","100.00%","1","1","358.00","-290","68.00","357.76","25.2008","1.2300","12,300.0000","64.7600","0.14","500.00","500.00","0.00","0.00","0.00","0.00","500.00","500.00","0","0.00","9"
"12/2025","WealthWave","Singapore","0","0","0.00%","39","57","11","11","81.82%","9","11","41,082.00","-7,249","33,833.00","23,332.00","17,506.4100","303.9400","3,039,400.0000","-79,776.6787","3.49","9,700.00","9,700.00","0.00","0.00","0.00","0.00","1,077.78","881.82","0","0.00","10"
"12/2025","jonathanvareymitchell","Switzerland","0","0","0.00%","1","1","1","1","100.00%","1","1","410.00","-409","1.00","410.00","0.0007","0.0500","500.0000","0.7500","0.00","1,000.00","1,000.00","0.00","0.00","0.00","0.00","1,000.00","1,000.00","0","0.00","11"
"12/2025","ElevatingForex","Croatia","0","0","0.00%","0","0","0","0","0.00%","0","0","0.00","0.00","0.00","0.00","484.4512","0.8700","8,700.0000","394.7100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","12"
"12/2025","ActeonCapitalG","Germany","0","0","0.00%","0","0","0","0","0.00%","0","0","0.00","-23,827","-23,827","0.00","7,256.1024","25.5900","255,900.0000","-16,682.1618","2.68","-8,891.78","0.00","0.00","-8,891.78","0.00","0.00","0.00","0.00","0","0.00","13"
"12/2025","junjix","Romania","0","0","0.00%","1","1","0","0","0.00%","0","0","2,266.00","-681","1,585.00","0.00","139,493.1673","33.2600","332,600.0000","1,581.6072","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","14"
"12/2025","SanderOever","United Kingdom","0","0","0.00%","32","55","17","17","52.94%","9","10","18,353.00","-16,662","1,691.00","10,461.79","91,579.8888","427.1800","4,271,800.0000","15,888.6933","0.23","7,200.00","7,200.00","0.00","0.00","0.00","0.00","800.00","423.53","0","0.00","15"
"12/2025","Billionairetrading","Belgium","0","0","0.00%","3","5","1","1","100.00%","1","1","200.00","0.00","200.00","200.00","0.0052","0.1000","1,000.0000","5.3300","0.80","250.00","250.00","0.00","0.00","0.00","0.00","250.00","250.00","0","0.00","16"
"12/2025","WealthWave","Bonaire Saint Eustatius and Saba","0","0","0.00%","12","21","6","6","66.67%","4","4","4,985.00","-1,200","3,785.00","4,984.95","55.1311","7.1500","71,500.0000","-196.8534","0.95","4,000.00","4,000.00","0.00","0.00","0.00","0.00","1,000.00","666.67","0","0.00","17"
"12/2025","MoonAff","Germany","0","0","0.00%","0","0","0","0","0.00%","0","0","0.00","-1,060","-1,060","0.00","292.2007","39.9600","399,600.0000","-3,586.3809","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","18"
"12/2025","Fredtrading","Latvia","0","0","0.00%","10","17","3","3","33.33%","1","1","588.00","0.00","588.00","587.50","2,571.3661","1.5300","15,300.0000","-267.9407","0.73","802.92","800.00","0.00","2.92","0.00","0.00","802.92","267.64","0","0.00","19"
"12/2025","Default Affiliate","Indonesia","0","0","0.00%","2","2","233","233","0.00%","0","0","0.00","-1,459","-1,459","0.00","712.8240","0.2900","2,900.0000","86.4300","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","20"
"12/2025","Billionairetrading","Croatia","0","0","0.00%","2","9","2","2","50.00%","1","1","1,174.00","0.00","1,174.00","1,173.74","11,789.5302","34.4700","344,700.0000","1,248.7857","1.38","850.00","850.00","0.00","0.00","0.00","0.00","850.00","425.00","0","0.00","21"
"12/2025","melofx","France","0","0","0.00%","0","0","0","0","0.00%","0","0","1,747.00","0.00","1,747.00","0.00","426.2136","26.0500","260,500.0000","2,296.4834","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","22"
"12/2025","ghassan","Italy","0","0","0.00%","1","1","0","0","0.00%","0","0","0.00","0.00","0.00","0.00","0.0000","0.0000","0.0000","0.0000","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","23"
"12/2025","Default Affiliate","Austria","0","0","0.00%","0","0","37","37","0.00%","0","0","0.00","0.00","0.00","0.00","0.0000","0.0000","0.0000","0.0000","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","24"
"12/2025","WealthWave","Korea, Republic of","0","0","0.00%","1","1","1","1","0.00%","0","0","0.00","0.00","0.00","0.00","0.0000","0.0000","0.0000","0.0000","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","25"
"12/2025","lunakafinity","United States","0","0","0.00%","2","2","0","0","0.00%","0","0","0.00","0.00","0.00","0.00","0.0000","0.0000","0.0000","0.0000","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","26"
"12/2025","FundedFast","United Arab Emirates","0","0","0.00%","0","0","0","0","0.00%","0","0","0.00","0.00","0.00","0.00","2,015.6900","2.1400","21,400.0000","-307.2500","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","27"
"12/2025","junjix","Ghana","0","0","0.00%","2","5","1","1","100.00%","1","1","501.00","0.00","501.00","501.00","868.4870","4.5100","45,100.0000","513.8200","0.50","1,000.00","1,000.00","0.00","0.00","0.00","0.00","1,000.00","1,000.00","0","0.00","28"
"12/2025","aff.bullwaves","Chile","0","0","0.00%","4","6","2","2","100.00%","2","0","304.00","0.00","304.00","303.80","107.8000","0.9400","9,400.0000","231.5300","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","29"
"12/2025","junjix","France","0","0","0.00%","1","2","1","1","0.00%","0","0","0.00","-500","-500","0.00","218.5100","0.1600","1,600.0000","201.2700","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","30"
"12/2025","Mertyoz","Tanzania, United Republic of","0","0","0.00%","1","1","2","2","0.00%","0","0","0.00","0.00","0.00","0.00","56.3266","0.0500","500.0000","27.0070","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","31"
"12/2025","telecserega1981","Belarus","0","0","0.00%","0","0","0","0","0.00%","0","0","0.00","0.00","0.00","0.00","2.3676","0.2000","2,000.0000","546.3300","0.00","1.60","0.00","0.00","1.60","0.00","0.00","0.00","0.00","0","0.00","32"
"12/2025","ElevatingForex","Singapore","0","0","0.00%","0","0","0","0","0.00%","0","0","0.00","0.00","0.00","0.00","12,541.0593","7.0900","70,900.0000","447.6700","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","33"
"12/2025","Mertyoz","Seychelles","0","0","0.00%","1","2","0","0","0.00%","0","0","0.00","0.00","0.00","0.00","13,661.5907","8.4900","84,900.0000","2,455.0190","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","34"
"12/2025","Mertyoz","Egypt","0","0","0.00%","0","0","0","0","0.00%","0","0","0.00","0.00","0.00","0.00","0.0131","0.2200","2,200.0000","73.0490","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","35"
"12/2025","Basilatwani","Switzerland","0","0","0.00%","0","1","0","0","0.00%","0","0","100.00","0.00","100.00","0.00","40.9214","0.5300","5,300.0000","97.7800","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","36"
"12/2025","junji2","Paraguay","0","0","0.00%","2","2","0","0","0.00%","0","0","0.00","-112","-112","0.00","9,802.4911","1.5900","15,900.0000","-48.1400","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","37"
"12/2025","Default Affiliate","United Kingdom","0","0","0.00%","0","0","2,814","2,814","1.17%","33","0","68,573.00","-35,860","32,713.00","29,330.74","540,311.2472","7427.0800","74,270,800.0000","55,085.8341","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","38"
"12/2025","mvmarketing","Singapore","0","0","0.00%","0","0","0","0","0.00%","0","0","0.00","0.00","0.00","0.00","817.6823","2.8800","28,800.0000","-542.8000","0.00","-277.27","0.00","0.00","-277.27","0.00","0.00","0.00","0.00","0","0.00","39"
