month,affiliate,country,impressions,unique_impressions,ctr,unique_visitors,visitors,leads,registrations,conversion_rate,ftd,qftd,deposits,withdrawals,net_deposits,first_deposits,spread,lot,volume,pl,roi,commission,cpa_commission,cpl_commission,revshare_commission,sub_commission,other_commission,ecpa,ecpl,chargeback_count,chargeback_amount,uid
11/2025,WealthWave,India,0,0,0.00%,5,5,1,1,100.00%,1,1,"1,000.00",-956,44.00,"1,000.00",0.0004,1.0100,"10,100.0000",44.4400,0.04,"1,000.00","1,000.00",0.00,0.00,0.00,0.00,"1,000.00","1,000.00",0,0.00,5
11/2025,SanderOever,United States,0,0,0.00%,1,1,0,0,0.00%,0,0,0.00,-305,-305,0.00,148.1219,0.2600,"2,600.0000",227.4046,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,10
11/2025,Basilatwani,Cook Islands,0,0,0.00%,0,0,0,0,0.00%,0,0,500.00,0.00,500.00,0.00,14.2600,2.0500,"20,500.0000",725.0900,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,20
11/2025,diamondfc,Italy,0,0,0.00%,4,4,0,0,0.00%,0,0,811.00,0.00,811.00,0.00,"29,201.7785",3.3200,"33,200.0000",859.1365,1.72,472.52,0.00,0.00,472.52,0.00,0.00,0.00,0.00,0,0.00,26
11/2025,Mertyoz,Malta,0,0,0.00%,8,13,3,3,0.00%,0,0,0.00,0.00,0.00,0.00,"21,148.3448",1.4400,"14,400.0000",558.2600,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,55
11/2025,evolutetrading,Belgium,0,0,0.00%,0,0,0,0,0.00%,0,0,0.00,0.00,0.00,0.00,"8,484.1578",1.4100,"14,100.0000",185.6466,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,59
11/2025,Fredtrading,United States,0,0,0.00%,8,10,1,1,100.00%,1,1,500.00,-200,300.00,500.00,"165,353.7541",40.5000,"405,000.0000",-755.7553,0.36,837.50,800.00,0.00,37.50,0.00,0.00,837.50,837.50,0,0.00,62
11/2025,fabi69,Turkey,0,0,0.00%,0,0,0,0,0.00%,0,0,0.00,0.00,0.00,0.00,53.3200,0.1700,"1,700.0000",-0.4700,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,68
11/2025,Mertyoz,Italy,0,0,0.00%,13,25,6,6,33.33%,2,0,245.00,0.00,245.00,245.16,942.2188,0.4500,"4,500.0000",39.8133,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,78
11/2025,ElevatingForex,Croatia,0,0,0.00%,1,1,1,1,100.00%,1,1,400.00,0.00,400.00,399.81,"420,198.8420",0.1000,"1,000.0000",1.2200,0.80,500.00,500.00,0.00,0.00,0.00,0.00,500.00,500.00,0,0.00,86
11/2025,jonathanvareymitchell,South Africa,0,0,0.00%,3,4,2,2,0.00%,0,0,"1,156.00",0.00,"1,156.00",0.00,"1,873.4978",6.8300,"68,300.0000","1,153.5744",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,112
11/2025,Basilatwani,United Arab Emirates,0,0,0.00%,2,7,0,0,0.00%,0,0,0.00,-700,-700,0.00,54.4266,1.1400,"11,400.0000",95.6200,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,122
11/2025,Fredtrading,United Kingdom,0,0,0.00%,176,293,55,55,69.09%,38,38,"63,833.00","-17,213","46,620.00","32,878.72","4,878,234.6792",37936.4800,"379,364,800.0000","50,902.2029",1.34,"34,713.70","31,600.00",0.00,"3,113.70",0.00,0.00,913.52,631.16,0,0.00,143
11/2025,ajmudronja,Portugal,0,0,0.00%,0,0,0,0,0.00%,0,0,0.00,0.00,0.00,0.00,1.7627,1.7100,"17,100.0000",113.4200,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,145
11/2025,forexero,Denmark,0,0,0.00%,2,5,1,1,100.00%,1,0,250.00,-100,150.00,250.00,189.4507,0.3000,"3,000.0000",42.2800,5.91,25.37,0.00,0.00,25.37,0.00,0.00,25.37,25.37,0,0.00,162
11/2025,Basilatwani,Netherlands,0,0,0.00%,1,1,227,227,23.79%,54,50,"55,633.00","-7,169","48,464.00","29,059.45","65,614.1311",543.9300,"5,439,300.0000","33,936.3407",1.39,"34,750.00","34,750.00",0.00,0.00,0.00,0.00,643.52,153.08,0,0.00,163
11/2025,masternl,Czech Republic,0,0,0.00%,0,0,0,0,0.00%,0,0,0.00,0.00,0.00,0.00,23.4463,0.0600,600.0000,6.3704,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,193
11/2025,masternl,Canada,0,0,0.00%,3,3,0,0,0.00%,0,0,0.00,0.00,0.00,0.00,"4,519.2539",1.6700,"16,700.0000",-0.1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,216
11/2025,tradingcentalfx,France,0,0,0.00%,1,2,1,1,0.00%,0,0,0.00,"-1,502","-1,502",0.00,"1,400.4686",10.5800,"105,800.0000","2,795.8082",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,220
11/2025,aff.bullwaves,Colombia,0,0,0.00%,9,22,6,6,133.33%,8,5,"1,312.00",-582,730.00,"1,011.69","5,442.6459",10.2300,"102,300.0000",372.5900,0.97,750.00,750.00,0.00,0.00,0.00,0.00,93.75,125.00,0,0.00,226
