"PaymentDate","id","Affiliate Id","Affiliate","Payment Range","Payment amount","Details","Action"
"12/30/2025","527","35272","Mertyoz","12/22/2025 - 12/28/2025","66,456.60","EQ EQ","Remove"
"12/27/2025","526","35597","junji2","12/15/2025 - 12/21/2025","20,200.00","KR EQ","Remove"
"12/27/2025","525","35180","jonathanvareymitchell","12/15/2025 - 12/21/2025","37,200.00","KR EQ","Remove"
"12/27/2025","524","35198","junjix","12/15/2025 - 12/21/2025","5,600.00","KR EQ","Remove"
"12/24/2025","523","35607","JamieLeon","12/15/2025 - 12/21/2025","3,476.90","EQ EQ","Remove"
"12/22/2025","522","35281","tradingcentalfx","11/1/2025 - 11/30/2025","2,793.00","Un Gl","Remove"
"12/22/2025","521","35272","Mertyoz","12/15/2025 - 12/21/2025","75,514.00","EQ EQ 86K","Remove"
"12/22/2025","520","35314","DRIVADAVE","12/1/2025 - 12/15/2025","3,000.00","UN GL","Remove"
"12/22/2025","519","35314","DRIVADAVE","11/1/2025 - 11/30/2025","500.00","UN GL","Remove"
"12/22/2025","518","35389","rvstyfx","11/1/2025 - 11/30/2025","600.00","UN GL","Remove"
"12/18/2025","517","35597","junji2","12/8/2025 - 12/14/2025","9,200.00","KR EQ","Remove"
"12/18/2025","516","35198","junjix","12/8/2025 - 12/14/2025","2,600.00","CR GL","Remove"
"12/18/2025","515","35180","jonathanvareymitchell","12/8/2025 - 12/14/2025","19,930.00","KR EQ","Remove"
"12/17/2025","514","35263","fxnhsignals","11/1/2025 - 11/30/2025","7,447.00","UN GL","Remove"
"12/17/2025","513","35164","FundedFast","11/1/2025 - 11/30/2025","1,400.00","UN GL","Remove"
"12/16/2025","512","35394","SanderOever","11/1/2025 - 11/30/2025","18,000.00","EQ EQ","Remove"
"12/16/2025","511","35465","Billionairetrading","11/1/2025 - 11/30/2025","2,666.00","UN GL","Remove"
"12/15/2025","509","35607","JamieLeon","12/1/2025 - 12/14/2025","5,265.20","EQ EQ","Remove"
"12/15/2025","508","35272","Mertyoz","12/8/2025 - 12/14/2025","93,600.00","EQ EQ","Remove"
"12/12/2025","507","35638","Dunnyfxt","11/1/2025 - 11/30/2025","3,500.00","UN GL","Remove"
"12/12/2025","506","35284","fxnltrading","11/1/2025 - 11/30/2025","3,000.00","KR EQ","Remove"
"12/12/2025","505","35224","theforexcomplex","11/1/2025 - 11/30/2025","11,550.00","Kr Eq","Remove"
"12/12/2025","504","35198","junjix","12/1/2025 - 12/7/2025","4,200.00","KR EQ","Remove"
"12/12/2025","503","35180","jonathanvareymitchell","12/1/2025 - 12/7/2025","27,130.00","KR EQ","Remove"
"12/12/2025","502","35597","junji2","12/1/2025 - 12/7/2025","20,600.00","KR EQ","Remove"
"12/11/2025","497","35477","frenibusiness","11/1/2025 - 11/30/2025","6,793.00","Un Gl","Remove"
"12/10/2025","496","35596","Robert","11/1/2025 - 11/30/2025","6,000.00","3rd pmnt Nov Un Gl","Remove"
"12/9/2025","495","35060","Cantax","11/1/2025 - 11/30/2025","19,750.00","Rapyd M","Remove"
"12/9/2025","494","35576","armaster","11/1/2025 - 11/30/2025","800.00","Un Gl","Remove"
"12/8/2025","493","35272","Mertyoz","12/1/2025 - 12/7/2025","117,000.00","EQ EQ","Remove"
"12/8/2025","492","35596","Robert","11/1/2025 - 11/30/2025","9,736.00","KR EQ","Remove"
"12/8/2025","491","35596","Robert","11/1/2025 - 11/30/2025","2,892.00","KR EQ","Remove"
"12/8/2025","490","35427","aff.bullwaves","11/1/2025 - 11/30/2025","13,150.00","Rapyd M","Remove"
"12/8/2025","489","35271","ForexAffiliateMasterclass","11/1/2025 - 11/30/2025","10,300.00","KR EQ","Remove"
"12/8/2025","488","35270","WealthWave","11/1/2025 - 11/30/2025","127,000.00","KR EQ","Remove"
"12/7/2025","498","35180","jonathanvareymitchell","11/1/2025 - 11/30/2025","60,000.00","october bonus","Remove"
"12/5/2025","487","35198","junjix","11/24/2025 - 11/30/2025","1,350.00","KR EQ","Remove"
"12/5/2025","486","35597","junji2","11/30/2025 - 11/30/2025","28,400.00","Kr EQ","Remove"
"12/5/2025","485","35180","jonathanvareymitchell","11/24/2025 - 11/30/2025","43,800.00","UN EQ","Remove"
"12/5/2025","484","35273","Fredtrading","11/1/2025 - 11/30/2025","129,831.00","","Remove"
"12/4/2025","483","35112","mvmarketing","11/1/2025 - 11/30/2025","16,961.00","Rap GL Eur","Remove"
"12/4/2025","482","35112","mvmarketing","11/1/2025 - 11/30/2025","35,500.00","KR GL","Remove"
"12/4/2025","481","35234","Anthhony","2/1/2025 - 11/30/2025","800.00","Eq EQ","Remove"
"12/4/2025","480","35431","dutrades","11/1/2025 - 11/30/2025","950.00","KR EQ","Remove"
"12/4/2025","479","35583","basil-tyrone","11/1/2025 - 11/30/2025","4,320.00","KR EQ","Remove"
"12/4/2025","478","35429","basil-hannah","11/1/2025 - 11/30/2025","28,850.00","KR EQ","Remove"
"12/4/2025","477","35197","Basilatwani","11/1/2025 - 11/30/2025","100,250.00","KR EQ","Remove"
"12/3/2025","476","35607","JamieLeon","11/1/2025 - 11/30/2025","6,961.55","EQ EQ","Remove"
"12/3/2025","475","35392","legend_circle","11/1/2025 - 11/30/2025","2,000.00","UN GL","Remove"
"12/3/2025","474","35231","MoonAff","11/1/2025 - 11/30/2025","30,650.00","KR EQ","Remove"
"12/3/2025","473","35637","Loconsole","11/1/2025 - 11/30/2025","2,050.00","UN GL","Remove"
"12/3/2025","472","35254","Nardo99","11/1/2025 - 11/30/2025","1,800.00","Un GL","Remove"
"12/2/2025","471","35180","jonathanvareymitchell","11/17/2025 - 11/23/2025","47,400.00","UN GL","Remove"
"12/2/2025","470","35597","junji2","11/17/2025","22,400.00","UN GL","Remove"
